sec,eeg,action
0,67,
1,69,
2,1,
3,28,
4,52,
5,33,
6,46,
7,38,
8,99,
9,94,
10,16,
11,63,
12,55,
13,34,
14,50,
15,16,jump
16,48,
17,26,
18,66,
19,35,
20,17,
21,64,
22,65,
23,52,
24,50,
25,49,
26,74,
27,49,
28,59,
29,5,
30,95,
31,69,jump
32,77,
33,59,
34,77,
35,12,
36,29,
37,23,
38,12,
39,9,
40,89,
41,63,
42,22,
43,33,
44,76,
45,50,
46,34,
47,37,
48,68,
49,75,
50,21,kill goomba
51,40,
52,81,bonus
53,21,
54,88,
55,27,
56,72,jump
57,81,bonus
58,71,
59,83,
60,43,
61,48,
62,4,
63,88,
64,52,
65,49,
66,45,
67,84,
68,83,
69,59,
70,79,
71,98,
72,66,
73,6,
74,49,
75,28,
76,77,jump
77,25,
78,99,
79,26,
