sec,eeg,action
0,5,
1,34,
2,90,
3,16,
4,48,
5,13,
6,98,
7,71,
8,38,
9,57,
10,52,
11,39,
12,95,
13,83,
14,70,
15,70,
16,77,
17,72,
18,31,
19,55,
20,20,
21,31,
22,12,
23,31,
24,56,
25,46,
26,52,
27,24,
28,97,
29,51,
30,54,
31,24,
32,28,jump
33,82,
34,42,
35,96,
36,45,
37,50,
38,66,
39,63,
40,51,jump
41,38,
42,10,
43,17,
44,88,
45,52,
46,92,
47,85,
48,66,
49,6,
50,80,
51,63,
52,45,
53,38,
54,64,
55,41,jump
56,8,
57,16,
58,44,
59,54,
60,51,kill goomba
61,95,
62,84,
63,1,kill goomba
64,36,
65,5,
66,30,kill goomba
67,62,
68,0,
69,92,
70,71,
71,73,
72,41,
73,34,jump
74,40,
75,2,
76,76,
77,50,
78,12,
79,13,
80,73,
81,82,
82,55,
83,39,
84,96,
85,51,
86,37,
87,45,
88,55,
89,79,
90,62,
91,18,
92,23,
93,54,
94,90,
95,72,
96,10,
97,76,
98,91,
99,94,
100,42,
101,15,
102,46,
103,88,
104,14,
105,34,
106,75,
107,94,
108,89,
109,0,
110,79,
111,44,
112,43,
113,52,
114,94,jump
115,34,
116,47,
117,26,
118,81,
119,83,hit koopa
120,64,
121,33,
122,97,hit koopa
123,62,
124,98,
125,70,
126,59,
127,99,
128,23,
129,15,
130,21,
131,20,
132,16,
133,14,
134,49,
135,72,
136,32,
137,44,
138,46,
139,17,
140,37,
141,78,
142,64,
143,95,
144,74,
145,30,
146,13,
147,52,
148,87,
149,10,
150,86,
151,25,
152,63,jump
153,79,
154,13,
155,62,
156,75,
157,85,
158,5,
159,92,
160,49,jump
161,29,
162,24,
163,47,
164,17,
165,29,
166,24,jump
167,5,
168,29,
169,51,
170,73,
171,38,
172,68,
173,62,jump
174,76,
175,61,
176,94,
177,24,
178,12,
179,67,
180,80,jump
181,14,
182,58,
183,93,
184,12,
185,21,
186,19,
187,26,jump
188,78,
189,36,
190,84,
191,23,
192,11,
193,65,
194,10,
195,55,jump
196,56,
197,18,
198,51,
199,72,
200,1,
201,1,jump
202,68,
203,38,
204,36,
205,48,
206,39,
207,88,
208,43,
209,99,jump
210,53,
211,97,
212,50,
213,91,
214,42,
215,93,
216,29,jump
217,6,
218,2,
219,21,
220,58,
221,70,
222,82,
223,66,
224,47,jump
225,18,
226,63,
227,55,
228,44,
229,13,
230,28,
231,66,jump
232,25,
233,86,
234,30,
235,85,
236,79,
237,95,
238,65,
239,69,
240,73,
241,10,
242,75,
243,2,
244,59,
245,70,jump
246,26,
247,14,
248,35,
249,16,
250,83,
251,28,
252,24,
253,83,
254,38,
255,88,hit koopa
256,72,
257,35,
258,79,hit koopa
259,83,
260,74,
261,22,
262,77,hit koopa
263,41,
264,23,
265,25,hit koopa
266,71,
267,73,
268,70,
269,68,
270,63,jump
271,7,
272,66,
273,88,
274,69,
275,11,
