sec,eeg,action
0,40,
1,40,
2,40,
3,40,
4,40,
5,40,
6,40,
7,40,
8,40,
9,40,
10,40,
11,40,
12,53,
13,83,
14,94,
15,88,
16,75,
17,75,right
18,75,
19,50,
20,50,right
21,50,
22,50,
23,50,
24,50,
25,50,
26,60,
27,74,
28,100,
29,100,
30,77,right
31,69,
32,69,kill goomba
33,69,
34,38,
35,40,right
36,41,right
37,41,jump
38,24,
39,44,jump
40,61,right
41,61,jump
42,61,
43,78,
44,78,jump
45,60,
46,57,
47,57,
48,57,
49,63,
50,54,
51,87,jump
52,7,kill goomba
53,1,right
54,1,right
55,10,
56,13,jump
57,13,hit koopa
58,20,
59,4,bonus
60,1,bonus
61,1,
62,11,left
63,23,kill goomba
64,23,jump
65,20,jump
66,16,kill goomba
67,13,
68,13,jump
69,8,jump
70,3,right
71,1,jump
72,1,jump
73,8,jump
74,11,jump
75,13,
76,10,jump
77,1,right
78,3,
79,1,jump
80,1,jump
81,1,left
82,1,
83,1,right
84,1,jump
85,1,jump
86,1,jump
87,1,jump
88,1,jump
89,3,jump
90,13,right
