sec,eeg,action
0,93,
1,9,
2,97,
3,97,
4,62,
5,9,
6,52,
7,7,
8,19,
9,7,
10,36,
11,26,
12,67,
13,76,
14,32,
15,94,
16,42,
17,0,
18,52,
19,36,
20,8,
21,84,
22,14,jump
23,61,bonus
24,58,
25,54,
26,29,
27,1,
28,98,
29,27,
30,44,
31,21,
32,50,
33,15,
34,22,
35,66,
36,66,
37,69,
38,6,
39,24,
40,94,jump
41,58,
42,85,
43,19,
44,30,
45,55,
46,54,hit koopa
47,92,
48,64,
49,12,hit koopa
50,21,
51,70,
52,28,
53,28,
54,79,
55,87,
56,42,
57,98,
58,36,
59,57,
60,17,
61,21,
62,23,
63,63,
64,40,jump
65,92,bonus
66,4,
67,82,
68,9,
69,69,
70,29,
71,24,
72,69,
73,1,
74,87,
75,5,
76,10,
77,5,
78,33,
79,32,
80,92,
81,38,
82,46,
83,81,
84,20,
85,11,
86,96,
87,81,
88,32,
89,89,
90,0,
91,93,jump
92,8,
93,97,mushroom
94,11,
95,92,
96,30,
97,55,
98,64,
99,46,
100,74,jump
101,67,
102,23,
103,60,
104,57,
105,40,
106,87,
107,29,
108,81,
109,21,
110,69,
111,99,
112,79,
113,23,
114,67,
115,64,
116,8,jump
117,49,
118,12,
119,88,
120,67,
121,63,
122,66,
123,13,
124,55,jump
125,23,
126,26,
127,0,
128,26,
129,36,
130,13,
131,66,
132,22,
133,36,jump
134,8,
135,91,
136,5,
137,18,
138,59,
139,56,
140,98,
141,50,
142,2,
143,49,jump
144,7,
145,29,
146,14,
147,2,
148,67,
149,90,
150,87,
151,49,
152,74,
153,77,
154,38,
155,50,
156,31,
157,74,
158,34,
159,4,
160,17,
161,91,jump
162,23,
163,45,
164,62,
165,49,
166,60,
167,27,
168,33,
169,56,
170,41,jump
171,24,
172,97,
173,88,
174,8,
175,27,hit koopa
176,36,
177,40,
178,74,
179,12,hit koopa
180,1,
181,16,
182,31,kill goomba
183,22,
184,30,
185,66,
186,67,
187,59,
188,98,
189,28,
190,96,
191,64,jump
192,10,
193,94,
194,82,
195,60,
196,69,
197,3,
198,82,
199,81,
200,20,
201,68,
202,53,
203,10,jump
204,91,
205,21,
206,70,
207,44,
208,58,
209,51,hit koopa
210,29,
211,9,
212,69,
213,33,
214,9,
215,39,
216,29,
217,74,
218,38,
219,48,jump
220,69,
221,8,
222,19,
223,11,
224,38,
225,0,
226,86,
227,22,
228,65,
229,79,
230,34,jump
231,14,break
232,82,
233,19,
234,47,
235,91,
236,97,
237,36,
238,26,
239,78,jump
240,71,bonus
241,87,
242,51,
243,42,
244,92,
245,4,
246,94,
247,91,
248,17,
249,16,
250,16,
251,38,
252,93,
253,69,
254,73,
255,89,
256,0,
257,67,
258,51,
259,23,
260,14,
261,94,
262,23,
263,89,
264,62,
265,7,
266,61,
267,61,
268,39,
269,32,
270,74,
271,94,
272,56,
273,33,
274,86,jump
275,52,
276,42,
277,41,
278,6,
279,4,
280,78,jump
281,78,
282,42,
283,61,
284,30,
285,17,
286,31,
287,15,
288,58,
289,41,jump
290,33,
291,5,
292,38,
293,42,
294,83,
295,48,
296,63,
297,73,
298,84,
299,75,
300,46,
301,38,
302,33,
303,92,
304,50,jump
305,66,
306,32,
307,59,
308,16,
309,25,
310,91,
311,51,
312,0,jump
313,23,
314,98,
315,5,
316,39,
317,96,
318,15,
319,46,
320,91,
321,13,
322,78,
323,39,
324,73,
325,32,
326,13,jump
327,38,
328,42,
329,63,
330,65,
331,51,
332,18,jump
333,27,
334,33,
335,7,
336,76,
337,86,
338,43,
339,42,jump
340,30,
341,98,
342,74,
343,44,
344,26,
345,0,
346,81,
347,37,jump
348,29,
349,14,
350,61,
351,53,
352,50,
353,84,
354,1,
355,44,
356,6,
357,52,
358,22,jump
359,78,
360,4,
361,34,
362,96,
363,51,
364,73,
365,99,kill goomba
366,89,
367,62,
368,31,
369,19,kill goomba
370,44,
371,75,
372,75,kill goomba
373,23,
374,7,
375,68,kill goomba
376,90,
377,90,
378,81,
379,97,
380,80,
381,20,
382,78,
383,53,
384,88,
385,42,
386,77,
387,75,
388,49,
389,78,
390,58,
391,80,
392,72,
393,82,
394,73,
395,12,
396,16,
397,81,
398,87,
399,62,
400,98,
401,38,
402,49,
403,79,
404,5,
405,79,
406,39,
407,86,jump
408,59,
409,98,
410,90,
411,0,
412,69,
413,0,
414,85,
415,40,
416,40,
417,90,
418,23,
419,11,
420,98,
421,40,
422,65,
423,7,
424,39,
425,23,
426,6,
427,45,
428,22,
429,68,
430,57,
431,36,
432,46,
433,91,
434,13,
435,13,
436,42,
437,88,
438,70,
439,34,
440,84,
441,40,
442,50,
443,62,
444,81,
445,92,
446,36,
447,76,
448,36,
449,18,
450,23,
451,99,
452,10,
453,44,
454,1,
455,71,
456,98,
457,42,
458,35,
459,50,
460,24,
461,78,
462,16,
463,58,
464,88,
465,86,
466,29,
467,81,
468,20,
469,30,
470,58,
471,72,
472,82,
473,88,
474,79,
475,23,
476,4,
477,30,
478,49,
479,8,
480,0,
481,43,
482,91,
483,92,
484,37,
485,75,
486,44,
487,43,
488,91,
489,72,
490,89,
491,48,
492,97,
493,93,
494,88,
495,96,
496,61,
497,99,
498,56,
499,91,
500,7,
501,38,
502,93,
503,96,jump
504,22,
505,55,
506,42,
