sec,eeg,action
0,99,
1,13,
2,54,
3,29,
4,54,
5,66,
6,13,
7,23,
8,45,
9,47,
10,78,
11,2,
12,57,
13,92,
14,77,
15,95,jump
16,58,
17,4,
18,12,
19,76,
20,14,
21,90,
22,96,
23,50,
24,93,jump
25,89,
26,61,
27,89,
28,14,
29,11,
30,95,
31,49,
32,84,
33,80,jump
34,25,
35,81,
36,16,
37,35,
38,41,
39,71,
40,0,
41,43,
42,27,jump
43,76,
44,93,
45,4,
46,67,
47,9,
48,74,
49,15,
50,95,
51,57,
52,29,
53,29,jump
54,10,
55,54,
56,36,
57,51,
58,54,
59,69,
60,30,
61,49,jump
62,3,
63,43,
64,10,
65,52,
66,81,
67,41,
68,72,
69,72,jump
70,38,
71,24,
72,71,
73,2,
74,8,
75,18,
76,90,
77,43,
78,60,jump
79,50,
80,36,
81,3,
82,10,
83,65,
84,43,
85,87,
86,66,jump
87,26,
88,41,
89,62,
90,4,
91,20,
92,66,
93,29,
94,61,
95,21,
96,74,jump
97,95,
98,47,
99,34,
100,4,
101,87,
102,9,
103,7,
104,53,
105,96,jump
106,72,
107,82,
108,29,
109,18,
110,83,
111,23,
112,48,jump
113,75,
114,82,
115,8,
116,7,
117,3,
118,16,
119,89,
120,73,
121,16,
122,79,
123,4,
124,57,
125,54,
126,33,
127,20,
128,44,
129,57,
130,31,
131,11,
132,59,jump
133,16,
134,86,
135,60,
136,82,
137,26,
138,86,
139,26,
140,59,
141,90,
142,89,
143,47,
144,76,
145,98,
146,2,
147,25,
148,12,
149,39,
150,11,
151,18,
152,61,
153,76,
154,77,
155,10,
156,0,
157,54,
158,28,
159,73,
160,96,
161,52,
162,44,
163,73,
164,71,
165,59,
166,46,
167,22,
168,99,
169,9,
170,95,
171,74,
172,83,
173,10,
174,95,
175,5,
176,90,
177,76,
178,16,
179,7,
180,64,
181,33,
182,68,
183,60,
184,13,
185,83,
186,22,
187,97,
188,50,
189,87,
190,58,
191,67,
192,19,
193,60,
194,40,
195,75,
196,79,
197,49,
198,97,
199,72,jump
200,50,
201,13,
202,52,
203,17,
204,97,
205,41,
206,30,
207,38,
208,10,
209,21,
210,77,
211,2,
212,34,
213,65,
214,61,
215,65,
216,65,
217,8,
218,16,jump
219,85,
220,69,
221,27,
222,75,
223,88,
224,92,kill goomba
225,32,
226,53,
227,79,kill goomba
228,61,
229,6,
230,7,
231,80,
