sec,eeg,action
0,98,
1,4,
2,92,
3,62,
4,66,
5,19,
6,2,
7,89,
8,63,
9,23,
10,18,
11,52,
12,64,
13,84,
14,12,jump
15,20,
16,89,
17,49,
18,53,
19,50,
20,90,
21,81,
22,9,
23,1,
24,6,
25,2,
26,69,
27,86,jump
28,4,
29,39,
30,25,
31,96,
32,70,
33,99,
34,65,
35,44,
36,2,
37,15,
38,42,
39,99,
40,63,
41,1,
42,38,
43,95,
44,58,jump
45,18,
46,13,
47,48,
48,49,
49,40,
50,29,
51,10,
52,22,
53,29,
54,28,jump
55,1,
56,76,
57,68,
58,93,
59,7,
60,27,
61,44,
62,78,
63,46,jump
64,39,
65,42,
66,76,
67,56,
68,27,
69,30,
70,59,jump
71,42,
72,78,
73,98,
74,26,
75,3,
76,68,
77,73,
78,11,
79,12,
80,86,
81,61,
82,54,
83,62,
84,41,
85,3,
86,48,
87,77,
88,73,
89,84,
90,50,jump
91,74,
92,1,
93,40,
94,32,
95,29,
96,50,hit koopa
97,54,
98,67,
99,79,hit koopa
100,21,
101,71,
102,8,
103,4,
104,32,
105,85,
106,80,
107,0,
108,64,
109,29,
110,19,
111,38,
112,68,
113,38,
114,21,
115,38,
116,39,
117,15,
118,15,
119,10,
120,34,
121,9,jump
122,78,
123,49,
124,11,
125,87,
126,29,
127,55,
128,71,
129,28,
130,16,
131,52,
132,16,
133,90,jump
134,40,
135,81,
136,62,
137,12,
138,43,
139,17,
140,18,jump
141,75,
142,66,
143,19,
144,21,
145,23,
146,35,
147,52,jump
148,64,
149,30,
150,95,
151,45,
152,39,
153,43,
154,15,
155,88,
156,26,
157,31,
158,64,jump
159,22,
160,51,
161,39,
162,61,
163,5,
164,0,
165,77,
166,82,
167,39,
168,66,
169,37,
170,48,
171,86,jump
172,47,
173,86,
174,10,
175,13,
176,87,
177,50,
178,74,
179,54,jump
180,76,
181,36,
182,54,
183,51,
184,45,
185,96,
186,71,
187,93,
188,73,
189,85,
190,63,
191,98,
192,1,
193,23,
194,24,
195,19,
196,66,
197,81,
198,48,
199,5,
200,78,
201,36,jump
202,77,
203,50,
